Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G00100		NA	0.1
AFUA_1G00110		NA	-0.3
AFUA_1G00120		0.80536314174781	-0.3
AFUA_1G00130		NA	-0.8
AFUA_1G00150		NA	-0.3
AFUA_1G00160		NA	0
AFUA_1G00170		NA	0.1
AFUA_1G00180		NA	0
AFUA_1G00200		NA	0
AFUA_1G00210		NA	-0.3
AFUA_1G00220		0.892470216567407	-0.1
AFUA_1G00230		NA	-0.1
AFUA_1G00250		NA	-0.7
AFUA_1G00270		NA	-0.4
AFUA_1G00280		NA	-1.4
AFUA_1G00310		NA	-1.4
AFUA_1G00320		NA	-0.4
AFUA_1G00330		NA	-0.3
AFUA_1G00340		NA	-0.7
AFUA_1G00350		NA	-1
AFUA_1G00400		NA	0
AFUA_1G00420		NA	-0.7
AFUA_1G00440		NA	-0.4
AFUA_1G00450		NA	-1.5
AFUA_1G00470		0.864733834239665	-0.2
AFUA_1G00480		NA	-0.6
AFUA_1G00490		NA	-0.4
AFUA_1G00500		NA	1.8
AFUA_1G00510		NA	0.1
AFUA_1G00520		NA	0.7
AFUA_1G00530		0.517025321931312	0.6
AFUA_1G00550		NA	0.6
AFUA_1G00560		NA	-1
AFUA_1G00580		NA	-1.7
AFUA_1G00610		NA	-0.9
AFUA_1G00630		NA	0
AFUA_1G00640		NA	-1.1
AFUA_1G00650		NA	-0.3
AFUA_1G00660		NA	-0.3
AFUA_1G00670		NA	-0.3
AFUA_1G00690		NA	-0.6
AFUA_1G00700		0.847997534912343	-0.2
AFUA_1G00710		NA	-0.8
AFUA_1G00720		NA	-1.3
AFUA_1G00730		NA	-0.2
AFUA_1G00740		NA	-1.5
AFUA_1G00750		0.926489141057657	-0.1
AFUA_1G00760		NA	-0.1
AFUA_1G00770		NA	1.6
AFUA_1G00780		NA	-0.1
AFUA_1G00790		NA	-0.1
AFUA_1G00800		NA	-0.8
AFUA_1G00810		NA	-0.2
AFUA_1G00820		NA	-0.1
AFUA_1G00830		NA	-0.4
AFUA_1G00840		NA	0.1
AFUA_1G00850		NA	-0.1
AFUA_1G00890		NA	-0.2
AFUA_1G00910		0.809017859872511	-0.3
AFUA_1G00920		0.950249641173877	-0.1
AFUA_1G00930		NA	-0.3
AFUA_1G00950		NA	0.1
AFUA_1G00970		NA	-0.8
AFUA_1G00980		NA	-0.6
AFUA_1G00990		NA	-0.9
AFUA_1G01000		NA	-0.9
AFUA_1G01010		NA	-1.1
AFUA_1G01020		NA	-0.5
AFUA_1G01040		NA	-0.5
AFUA_1G01050		NA	-0.4
AFUA_1G01070		NA	-0.6
AFUA_1G01080		NA	-0.6
AFUA_1G01090		NA	-0.8
AFUA_1G01100		NA	0.8
AFUA_1G01110		NA	0.9
AFUA_1G01120		NA	-0.3
AFUA_1G01130		NA	-0.4
AFUA_1G01140		NA	-0.2
AFUA_1G01160		NA	-1.2
AFUA_1G01175		0.222329139083635	-1.3
AFUA_1G01180		0.925509181353924	0.1
AFUA_1G01190		NA	-0.3
AFUA_1G01200		NA	-0.8
AFUA_1G01210		NA	-0.7
AFUA_1G01220		NA	-0.7
AFUA_1G01230		NA	-0.8
AFUA_1G01240		NA	-0.5
AFUA_1G01250		NA	-0.6
AFUA_1G01260		NA	-0.2
AFUA_1G01265		NA	-1.3
AFUA_1G01270		NA	-0.4
AFUA_1G01280		NA	-0.4
AFUA_1G01300		NA	-1.2
AFUA_1G01310		NA	-0.1
AFUA_1G01320		NA	-1.2
AFUA_1G01330		NA	-1.1
AFUA_1G01340		NA	-1.1
AFUA_1G01350		0.818855370768549	-0.3
AFUA_1G01360		0.361433821372067	-0.7
AFUA_1G01370		NA	0.3
AFUA_1G01380		NA	0.5
AFUA_1G01390		NA	-0.5
AFUA_1G01400		NA	-0.5
AFUA_1G01410		0.720405129306913	-0.3
AFUA_1G01420		NA	-0.3
AFUA_1G01430		NA	-0.7
AFUA_1G01440		NA	-0.2
AFUA_1G01450		NA	-1.9
AFUA_1G01460		NA	0.7
AFUA_1G01480		NA	-0.3
AFUA_1G01490		0.292831525661724	-1.1
AFUA_1G01500		NA	-1.1
AFUA_1G01520		NA	0.4
AFUA_1G01530		NA	0
AFUA_1G01540		NA	0.2
AFUA_1G01550		0.103347711411158	-1.5
AFUA_1G01560		0.516587470684356	-0.5
AFUA_1G01570		NA	0.6
AFUA_1G01580		NA	0.1
AFUA_1G01590		0.59175831736064	0.5
AFUA_1G01600		0.116072682622975	1.1
AFUA_1G01610		0.183207092349572	1.2
AFUA_1G01620		NA	0.3
AFUA_1G01630		NA	0.2
AFUA_1G01640		NA	0.1
AFUA_1G01650		NA	0.1
AFUA_1G01660		NA	-0.5
AFUA_1G01670		0.522410198020529	-0.7
AFUA_1G01680		0.78631262170327	0.3
AFUA_1G01690		NA	0.3
AFUA_1G01700		0.808162502812548	0.2
AFUA_1G01710		NA	0.3
AFUA_1G01720		0.222329139083635	1
AFUA_1G01730		NA	-0.3
AFUA_1G01740		0.217303229344459	0.8
AFUA_1G01750		NA	0
AFUA_1G01760		0.759609621786066	-0.3
AFUA_1G01770		0.221683978567872	-1.3
AFUA_1G01780		NA	-1.4
AFUA_1G01790		NA	0.4
AFUA_1G01812		NA	-0.7
AFUA_1G01820		NA	0.1
AFUA_1G01830		NA	-0.9
AFUA_1G01850		0.725772030814465	-0.3
AFUA_1G01860		NA	-0.8
AFUA_1G01870		0.634759620175885	0.4
AFUA_1G01890		NA	-1.7
AFUA_1G01900		NA	-1.5
AFUA_1G01910		NA	0.3
AFUA_1G01920		NA	-1
AFUA_1G01930		NA	-1.3
AFUA_1G01940		NA	-0.7
AFUA_1G01950		0.620235186237976	0.4
AFUA_1G01960		0.9134468071597	0.1
AFUA_1G01970		0.922125639744561	0.1
AFUA_1G01980		NA	-1.7
AFUA_1G01990		0.0499416994773654	1.7
AFUA_1G02000		NA	0.4
AFUA_1G02010		0.327125171645966	0.9
AFUA_1G02020		0.470110717937817	-0.5
AFUA_1G02030		0.0965798033660764	1.2
AFUA_1G02040		0.133420454012461	-1.4
AFUA_1G02050		0.43853371822482	0.6
AFUA_1G02060		NA	-0.2
