"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","OATS - ACRES HARVESTED  -  <b>VALUE</b>","OATS - ACRES HARVESTED  -  <b>CV (%)</b>","OATS - ACRES PLANTED  -  <b>VALUE</b>","OATS - ACRES PLANTED  -  <b>CV (%)</b>","OATS - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","OATS - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","OATS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","OATS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","CLARE","035","","","00000000","","OATS","TOTAL","NOT SPECIFIED","290","36.8","1,000","0.8","18,300","41.2","63.1","16.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","GRATIOT","057","","","00000000","","OATS","TOTAL","NOT SPECIFIED","220","21.6","500","4.5","10,600","29.5","48.2","19.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","ISABELLA","073","","","00000000","","OATS","TOTAL","NOT SPECIFIED","740","38.1","2,200","12","48,000","40.1","64.9","12.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MECOSTA","107","","","00000000","","OATS","TOTAL","NOT SPECIFIED","660","17.6","1,400","0.7","35,600","18.3","53.9","4.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MONTCALM","117","","","00000000","","OATS","TOTAL","NOT SPECIFIED","630","35.5","1,900","4.2","32,400","36.1","51.4","5.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","OSCEOLA","133","","","00000000","","OATS","TOTAL","NOT SPECIFIED","330","23.5","800","0.8","15,600","26.5","47.3","11.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","HURON","063","","","00000000","","OATS","TOTAL","NOT SPECIFIED","670","29.8","1,800","1.4","67,000","29.7","100","4.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SAGINAW","145","","","00000000","","OATS","TOTAL","NOT SPECIFIED","310","20.4","700","0.8","23,300","23.8","75.2","12.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SANILAC","151","","","00000000","","OATS","TOTAL","NOT SPECIFIED","730","35.9","2,300","3.6","67,700","37.2","92.7","11.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","PRESQUE ISLE","141","","","00000000","","OATS","TOTAL","NOT SPECIFIED","440","50.8","2,100","1.1","30,900","50.9","70.2","3.4"
