Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,CORN - ACRES PLANTED  -  <b>VALUE</b>,CORN - ACRES PLANTED  -  <b>CV (%)</b>,"CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,GRATIOT,57,,,0,,CORN,TOTAL,NOT SPECIFIED,"96,800",3.9,"78,800",10,"13,554,000",10.5,172,3
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,ISABELLA,73,,,0,,CORN,TOTAL,NOT SPECIFIED,"44,200",0.2,"36,400",10.8,"6,093,000",11.3,167.4,3.3
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MECOSTA,107,,,0,,CORN,TOTAL,NOT SPECIFIED,"24,200",0.7,"21,300",7.3,"3,259,000",7.9,153,2.6
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MIDLAND,111,,,0,,CORN,TOTAL,NOT SPECIFIED,"23,400",0.9,"21,400",9,"3,895,000",9.3,182,2.3
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MONTCALM,117,,,0,,CORN,TOTAL,NOT SPECIFIED,"60,300",0.2,"52,600",8.8,"9,351,000",8.9,177.8,1.6
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,ARENAC,11,,,0,,CORN,TOTAL,NOT SPECIFIED,"17,800",1.5,"15,100",9.9,"2,836,000",11.4,187.8,5.5
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,BAY,17,,,0,,CORN,TOTAL,NOT SPECIFIED,"47,600",0.2,"44,100",8.5,"8,282,000",9.3,187.8,3.6
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,HURON,63,,,0,,CORN,TOTAL,NOT SPECIFIED,"100,000",0.7,"73,500",14.4,"15,656,000",14.4,213,2
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,SAGINAW,145,,,0,,CORN,TOTAL,NOT SPECIFIED,"90,000",0.2,"85,000",8.1,"15,122,000",9.1,177.9,4.1
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,SANILAC,151,,,0,,CORN,TOTAL,NOT SPECIFIED,"108,000",0.3,"89,000",9.6,"18,868,000",9.6,212,1.7
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,TUSCOLA,157,,,0,,CORN,TOTAL,NOT SPECIFIED,"78,900",0.3,"72,500",8.7,"14,884,000",9.3,205.3,3.9
SURVEY,2021,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,ALPENA,7,,,0,,CORN,TOTAL,NOT SPECIFIED,"7,200",0.3,"6,240",9.3,"1,021,000",10.2,163.6,4.3
