"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","WHEAT, WINTER - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","GLADWIN","051","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,270","3.2","2,500","0.4","170,000","6.5","74.9","5.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","GRATIOT","057","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","20,700","1.8","22,100","0.9","1,733,000","3.1","83.7","2.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","ISABELLA","073","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","13,500","2.2","14,700","0.4","1,069,000","5.4","79.2","5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MIDLAND","111","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,710","4.8","4,500","0.4","321,000","7.1","86.5","5.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MONTCALM","117","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,700","3.7","17,400","0.4","1,058,000","4.9","67.4","3.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","OSCEOLA","133","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","1,850","1.7","2,000","0.6","134,000","3.4","72.4","2.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","ARENAC","011","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,290","1.9","7,900","0.4","580,000","7.6","79.6","7.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","BAY","017","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","16,900","2","18,000","0.7","1,418,000","4.3","83.9","3.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","HURON","063","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","71,800","1.8","76,400","0.4","6,585,000","2.6","91.7","1.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SAGINAW","145","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","23,500","1.9","25,000","0.4","1,988,000","3.1","84.6","2.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SANILAC","151","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,000","1.3","54,500","0.4","4,585,000","3.4","89.9","3.1"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","TUSCOLA","157","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","34,200","2.1","36,700","0.4","3,016,000","2.7","88.2","1.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","OGEMAW","129","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,450","3.1","3,800","0.4","233,000","8.7","67.5","8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","KALKASKA","079","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","990","3.8","1,100","0.4","61,300","9.1","61.9","8.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","MISSAUKEE","113","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","1,000","3.1","1,100","0.5","64,600","11.3","64.6","10.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","BARRY","015","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","8,310","1.6","9,000","0.9","588,000","5.1","70.8","4.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","BRANCH","023","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,900","3.3","4,300","0.4","281,000","5.6","72.1","4.6"
